"Select","id","feature","weight","chartype","ps_score","ps_score_weighted","Adapazar","Akn","Alashkert","Altun.Husein","Amasia","Arabkir","Aramo","Arjesh","ArtialKuti","Artial.Suceava","Aslanbek","Aygetun","Ayntab","Baberd","Bardizag","Beylan","Bitlis","Charsanchag","Chmshgadzak","Constantinople","Crimea","Darende","EdesiaUrfa","Erznkay","Eudokia","Evereg","Gamakh","Gelieguzan.Sasun","Gop","Grabar","Gyumri","Gyurin","Hajin","HajiHabibli.Svedia","Halvorig","Hamshen.Mala","Hamshen.Martil","Hamshen.Zefanos","Hazzo","Jerusalem","Kesab.Galaduran","Kabusiye","Karin","Kesaria","KharberdDersim","Khodorjur","Malatya","Manazkert","Marash","Marzvan","Middle.Arm","Moks","Mush","Nicomedia","Nish","Ordu","Ozmi","Prknig","Rodosto","Sasun","Sebastia","Shabin.Karahisar","Shatakh","Sivrihisar","Smyrna","SWA","Syolyoz","Tigranakert","Tomarza","Trabzon","Van","Vartenis","Xlat","Xnus","Xtrbek","Yoghnoluk","YozgatGamirk","Zeytun","Shamakhi"
"Select","50","ilwor PTCP future","1","standard","1","1","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","?","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","0","?","?","?","?","?","?","0","?","?","?","0"
"Select","51","uzel particle in fut guzem krem uzum em grem 7","1","standard","4","4","0","0","0","0","0","0","0","0","0","1","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","?","0","0"
"Select","52","mn particle in fut                                       1008","1","standard","1","1","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","?","1","0","0","0","0","0","0","0","0","?","0","0"
"Select","53","bidor future","1","standard","1","1","0","0","0","0","0","0","0","0","1","1","0","0","?","0","0","0","0","0","0","0","0","0","?","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","0","?","?","?","?","?","?","?","?","0","?","?","?","0"
"Select","54","br future","1","standard","1","1","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","?","?","?","?","?","?","?","0","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","0","?","?","?","?","?","?","?","?","1","?","?","?","0"
"Select","55","bidi shows obligatoriness","1","standard","2","2","0","0","0","0","0","0","0","0","0","1","0","0","?","?","0","?","?","?","?","0","1","?","?","?","1","?","?","?","?","0","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","?","1","?","?","?","?","0","?","0","?","?","?","?","?","?","?","?","1","?","?","?","?"
"Select","56","special postposed future gaka particle        1009","1","standard","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","?","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","?","0","0"
"Select","57","nonprogressive hande hnd hnde hnt","1","standard","5","5","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","?","?","?","?","?","1","?","0","?","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","?","?","1","1","?","?","?","?","?","1","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","0","?","?","?","0"
"Select","58","doubled guggeuetc","1","standard","2","2","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","?","?","?","?","?","?","?","0","1","?","?","?","?","?","?","?","?","?","?","1","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","?","?","?","?","0"
"Select","59","CA INF il  el","1","standard","1","1","?","?","?","?","?","?","?","?","0","0","0","0","?","?","?","?","?","?","?","0","1","?","?","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","0","?","?","?","?"
"Select","60","CA INF ul  el","1","standard","2","2","?","?","?","?","?","?","?","?","0","0","0","0","?","?","?","?","?","?","?","1","1","?","?","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","?","?","0","?","?","?","?"
