feature,feature with no special characters,legend,Adapazar,Akn,Alashkert,Altun-Husein,Amasia,Arabkir,Aramo,Arjesh,ArtialKuti,Artial Suceava,Aslanbek,Aygetun,Ayntab,Baberd,Bardizag,Beylan,Bitlis,Charsanchag ,Chmshgadzak,Constantinople,Crimea,Darende,EdesiaUrfa,Erznkay,Eudokia,Evereg,Gamakh,Gelieguzan Sasun,Gop,Grabar,Gyumri,Gyurin,Hajin,HajiHabibli Svedia,Halvorig,Hamshen Mala,Hamshen Martil,Hamshen Zefanos,Hazzo,Jerusalem,Kesab Galaduran,Kabusiye,Karin,Kesaria,KharberdDersim,Khodorjur,Malatya,Manazkert,Marash,Marzvan,Middle Arm,Moks,Mush,Nicomedia,Nish,Ordu,Ozmi,Prknig,Rodosto,Sasun,Sebastia,Shabin-Karahisar,Shatakh,Sivrihisar,Smyrna,SWA,Syolyoz,Tigranakert,Tomarza,Trabzon,Van,Vartenis,Xlat,Xnus,Xtrbek,Yoghnoluk,YozgatGamirk,Zeytun,Shamakhi
mobile bidi,mobile bidi,,0,0,0,0,0,0,0,0,0,0,0,0,?,?,0,?,?,?,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,1,?,?,?,?,0,?,?,?,1,?,?,?,?,0,?,?,?,?
-m added to indicative imperfect for 1SG,m added to indicative imperfect for 1SG,,0,0,0,0,0,0,0,0,0,0,0,0,?,?,0,?,?,?,?,0,?,?,?,?,1,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,0,?,?,?,?
inflected g?,inflected g,,0,0,0,0,0,0,0,0,0,0,0,0,?,?,0,?,?,?,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,0,?,?,?,?,?,?,?,?,0,?,?,?,0
u- or i- prefix for monosyllablic imperatives,u or i prefix for monosyllablic imperatives,,0,0,0,0,0,0,0,0,0,0,0,0,?,?,0,?,?,?,?,1,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,1,?,?,?,?,?,?,0,?,?,?,?
present perfect with -il,present perfect with il,,0,0,0,0,0,0,0,0,0,0,0,0,?,?,0,?,?,?,?,0,1,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,0,?,?,?,?
2SG imperfect eir > eis,2SG imperfect eir  eis,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uses any form of bidi (inc. multiple particles),uses any form of bidi inc multiple particles,,1,1,1,1,1,1,1,1,1,1,1,1,?,1,1,1,1,1,1,1,1,1,1,1,1,1,?,1,?,0,1,1,1,1,1,1,1,1,1,?,1,1,1,1,1,0,1,?,1,1,1,1,?,1,?,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,?,?,?,1,1,?,1,?
loses 2nd syll pi p bi b 92,loses 2nd syll pi p bi b 92,"2=loses 1st syllable (ti, t, di, d)",1,2,0,2,0,2,0,0,1,1,0,0,?,0,1,1,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0,0,2,1,2,0,0,0,2,?,1,1,0,0,2,0,2,0,0,2,0,2,0,1,0,1,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,?,1,0
future tenses must use -lik participle,future tenses must use lik participle,,0,0,0,0,0,0,0,0,0,0,0,0,?,?,0,?,?,?,?,0,?,0,?,?,1,0,0,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,0,?,0,?,?,?,?,?,?,0,?,?,?,?
-lu PTCP future,lu PTCP future,,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,0,?,0,?,?,?,?,?,?,0,?,?,?,0
